day,mon,yr,hr,min,sec,pc,logon
24,1,2011,7,42,0,1689,1
24,1,2011,12,10,42,1689,1
24,1,2011,14,43,12,1689,0
25,1,2011,7,36,47,1689,1
25,1,2011,12,57,44,1689,1
25,1,2011,14,49,26,1689,0
26,1,2011,7,35,30,1689,1
26,1,2011,9,19,12,2285,1
26,1,2011,9,40,34,2285,0
26,1,2011,11,31,30,1689,1
26,1,2011,14,43,57,1689,0
27,1,2011,7,50,50,1689,1
27,1,2011,13,44,4,1689,1
27,1,2011,14,49,58,1689,0
28,1,2011,7,41,23,1689,1
28,1,2011,14,50,14,1689,0
31,1,2011,7,47,22,1689,1
31,1,2011,12,45,25,1689,1
31,1,2011,14,46,45,1689,0
1,2,2011,7,48,46,1689,1
1,2,2011,14,42,2,1689,0
2,2,2011,7,44,14,1689,1
2,2,2011,11,57,31,1689,1
2,2,2011,14,51,37,1689,0
3,2,2011,7,46,47,1689,1
3,2,2011,11,35,20,1689,1
3,2,2011,14,43,48,1689,0
4,2,2011,7,39,13,1689,1
4,2,2011,11,36,12,1689,1
4,2,2011,14,41,49,1689,0
7,2,2011,7,41,12,1689,1
7,2,2011,12,45,34,1689,1
7,2,2011,14,49,16,1689,0
8,2,2011,7,47,8,1689,1
8,2,2011,13,44,42,1689,1
8,2,2011,14,53,8,1689,0
9,2,2011,7,53,53,1689,1
9,2,2011,14,53,1,1689,0
10,2,2011,7,44,3,1689,1
10,2,2011,13,43,46,1689,1
10,2,2011,14,45,23,1689,0
11,2,2011,7,40,35,1689,1
11,2,2011,14,52,23,1689,0
14,2,2011,7,45,25,1689,1
14,2,2011,12,35,24,1689,1
14,2,2011,14,41,5,1689,0
15,2,2011,7,52,58,1689,1
15,2,2011,12,11,3,1689,1
15,2,2011,14,52,23,1689,0
16,2,2011,7,43,48,1689,1
16,2,2011,11,58,54,1689,1
16,2,2011,14,54,27,1689,0
17,2,2011,7,39,31,1689,1
17,2,2011,12,34,29,1689,1
17,2,2011,14,54,12,1689,0
18,2,2011,7,37,33,1689,1
18,2,2011,11,24,24,1689,1
18,2,2011,14,50,31,1689,0
21,2,2011,7,54,54,1689,1
21,2,2011,11,37,50,1689,1
21,2,2011,14,53,59,1689,0
22,2,2011,7,46,39,1689,1
22,2,2011,14,52,25,1689,0
23,2,2011,7,43,51,1689,1
23,2,2011,12,48,45,1689,1
23,2,2011,14,44,37,1689,0
24,2,2011,7,36,44,1689,1
24,2,2011,14,41,12,1689,0
